degree,k_ij
37,12.432432432432432
82,75.58536585365853
2,22.5
3,2.0
2,36.0
2,156.5
5,1.6
2,471.0
1,5.0
2,5.0
5,4.4
1,5.0
2,241.0
2,6.5
1,2.0
1,1.0
1,1.0
1,30.0
4,285.0
2,1565.0
1,3024.0
1,3103.0
14,312.5
26,14.384615384615385
8,11.5
28,9.642857142857142
16,409.5
46,11.0
1,16.0
10,418.3
15,17.666666666666668
2,48.0
1,1.0
1,1.0
3,1154.3333333333333
3,1700.6666666666667
4,513.75
1,1995.0
5,962.2
3,5.0
1,380.0
1,432.0
1,5.0
5,9.0
1,245.0
2,751.0
1,1.0
1,1.0
1,699.0
3,524.3333333333334
2,154.0
4,373.5
2,7.0
6,785.3333333333334
26,5.730769230769231
5,337.6
1,310.0
7,309.85714285714283
2,38.5
6,255.83333333333334
5,288.2
17,70.17647058823529
2,5.0
1,5.0
8,603.875
5,337.6
4,265.0
3,5.333333333333333
1,4.0
3,4.333333333333333
7,367.2857142857143
2,3.5
1,2.0
6,3.3333333333333335
2,23.0
1,6.0
11,275.1818181818182
2,7.0
1,11.0
1,11.0
7,62.142857142857146
11,5.909090909090909
1,6.0
3,4.0
4,2.75
2,241.0
1,1461.0
2,1728.0
5,634.8
1,5.0
8,319.375
5,634.8
1,5.0
2,51.0
3,1055.0
3,1055.0
2,16.0
1,2.0
31,300.741935483871
1,69.0
2,360.5
1,310.0
2,272.0
1,1461.0
2,1057.0
4,203.25
1,44.0
1,11.0
4,1148.0
43,13.511627906976743
12,473.0
37,16.08108108108108
26,27.46153846153846
14,261.92857142857144
1,14.0
35,14.371428571428572
1,173.0
6,203.5
1,6.0
1,6.0
1,6.0
9,276.55555555555554
2,9.0
23,7.826086956521739
1,9.0
2,814.5
2,26.0
51,13.901960784313726
1,2.0
1,7.0
7,2.2857142857142856
6,826.0
10,10.7
1,3103.0
2,1741.5
7,943.0
14,12.857142857142858
1,1053.0
3,1036.3333333333333
1,3.0
10,494.0
97,10.649484536082474
66,16.40909090909091
3,7.333333333333333
22,85.81818181818181
4,18.75
5,19.8
66,120.77272727272727
3,510.3333333333333
1,4.0
3,9.333333333333334
13,121.76923076923077
1,10.0
10,305.8
4,883.75
4,928.0
3,1021.3333333333334
3,1069.3333333333333
1,5.0
2,1517.0
4,783.75
3,1012.6666666666666
10,12.6
4,294.75
1,4.0
2,562.0
37,290.18918918918916
24,16.291666666666668
29,29.275862068965516
7,500.14285714285717
60,25.416666666666668
38,14.657894736842104
19,11.68421052631579
2,31.5
1,37.0
32,17.8125
4,13.0
1,37.0
1,37.0
1,37.0
1,37.0
1,37.0
37,87.1891891891892
57,23.350877192982455
46,22.434782608695652
1,3024.0
1,3024.0
2,1513.5
3,2.6666666666666665
1,3024.0
1,3024.0
3,1010.3333333333334
3,4.0
4,3.75
6,508.5
6,4.833333333333333
7,5.142857142857143
7,5.142857142857143
3,1009.6666666666666
1,3.0
3,1010.3333333333334
1,3024.0
1,3024.0
1,3024.0
1,3024.0
4,1005.5
2,178.0
3,589.3333333333334
1,3.0
4,468.25
3,475.0
3,1565.3333333333333
12,186.08333333333334
6,878.5
3,1197.3333333333333
18,5.666666666666667
4,307.25
1,8.0
8,3.5
3,501.0
1,3.0
1,3103.0
5,685.0
1,5.0
1,504.0
26,195.46153846153845
4,9.75
1,26.0
12,59.583333333333336
17,24.176470588235293
24,34.583333333333336
1,22.0
6,308.1666666666667
7,16.285714285714285
20,19.15
2,1581.5
5,606.4
1,5.0
1,5.0
3,1010.3333333333334
3,1010.3333333333334
4,1039.75
1,6.0
6,521.1666666666666
12,532.5
2,9.5
13,531.3846153846154
10,12.2
36,71.63888888888889
4,13.5
30,8.966666666666667
20,20.1
6,9.666666666666666
45,7.488888888888889
1,13.0
2,99.5
2,176.5
5,662.2
2,107.5
3,582.3333333333334
6,2.6666666666666665
1,1995.0
1,42.0
2,645.5
3,1203.0
1,1995.0
4,304.0
1,937.0
1,3103.0
2,435.5
1,21.0
21,4.666666666666667
1,105.0
8,253.875
1,173.0
3,35.333333333333336
34,72.55882352941177
6,356.0
1,576.0
1,3103.0
2,607.5
4,1299.75
46,13.173913043478262
55,8.454545454545455
3,1411.3333333333333
1,1461.0
3,14.0
3,3.0
4,4.75
35,9.942857142857143
5,195.4
1,5.0
2,1.0
1,2.0
1,380.0
26,225.3846153846154
1,26.0
3,9.333333333333334
3,10.666666666666666
1,26.0
34,8.558823529411764
43,100.48837209302326
1,26.0
4,10.25
12,11.916666666666666
3,9.666666666666666
6,16.333333333333332
2,1091.5
16,340.0
28,227.07142857142858
1,8.0
5,150.8
88,20.03409090909091
9,327.0
6,13.166666666666666
1,8.0
8,2.0
4,265.25
2,3.0
2,5.0
1,4.0
6,1317.1666666666667
4,265.25
2,3.0
1,112.0
1,34.0
2,275.5
1,2.0
2,4.5
2,406.0
1,29.0
4,159.75
1,63.0
3,385.0
3,167.33333333333334
1,106.0
1,112.0
7,452.0
6,325.3333333333333
1,6.0
16,410.4375
5,8.8
1,16.0
2,9.0
11,15.272727272727273
1,16.0
15,12.266666666666667
6,9.5
2,430.0
6,398.1666666666667
1,6.0
20,305.8
20,24.35
1,20.0
13,23.307692307692307
1,20.0
1,3103.0
4,478.0
4,364.75
4,5.0
3,5.666666666666667
2,1578.5
2,5.5
10,7.5
1,2.0
2,442.5
4,790.25
6,11.333333333333334
1,571.0
2,7.0
12,16.666666666666668
3,100.33333333333333
9,16.11111111111111
15,6.266666666666667
1,3024.0
1,380.0
1,62.0
2,380.5
2,718.0
18,212.88888888888889
34,104.02941176470588
12,18.333333333333332
20,16.3
2,44.0
70,15.014285714285714
4,300.25
2,19.0
3,1238.3333333333333
4,590.75
2,406.0
1,34.0
2,284.0
1,380.0
2,718.0
3,522.6666666666666
4,363.25
1,380.0
1,62.0
2,718.0
2,718.0
2,718.0
5,357.2
2,442.0
1,3103.0
5,723.4
1,380.0
9,659.2222222222222
6,17.5
3,12.666666666666666
3,12.666666666666666
4,11.25
1,62.0
7,408.42857142857144
8,13.625
34,12.588235294117647
2,221.0
2,5.0
1,2.0
9,3.888888888888889
1,1053.0
4,359.25
2,5.0
1,235.0
1,3103.0
4,118.75
2,4.5
7,11.285714285714286
2,562.5
69,125.71014492753623
5,229.2
6,524.0
4,1273.75
3,479.0
3,165.66666666666666
4,376.5
16,75.6875
2,4.0
3,1080.0
1,1.0
1,1.0
3,1057.0
2,2.0
4,77.75
6,12.666666666666666
7,3.4285714285714284
2,435.0
4,2.5
4,249.0
2,1512.5
1,2.0
5,238.2
4,5.25
24,7.375
9,2.888888888888889
4,13.0
1,677.0
2,291.5
2,196.0
4,74.0
14,9.142857142857142
2,1.0
1,2.0
1,2.0
1,2.0
2,1.5
3,107.66666666666667
8,5.75
1,35.0
35,5.057142857142857
